Partlist

Exported from ez_control.brd at  1/25/2011 13:06:05 

EAGLE Version 4.16r2 Copyright (c) 1988-2006 CadSoft

Part     Value           Package    Library         Position (mm)         Orientation

C1       100nF           C0805      rcl             (47.9806 36.9062)     R0
C2       12pF            C0805      rcl             (33.2994 26.6446)     R0
C3       12pF            C0805      rcl             (33.7566 34.163)      R180
C4       100nF           C0805      rcl             (99.3648 58.42)       R180
C5       100nF           C0805      rcl             (40.513 49.657)       R270
C6       100nF           C0805      rcl             (55.5752 20.8534)     R90
C7       100nF           C0805      rcl             (61.5442 41.8338)     R90
C8       100nF           C0805      rcl             (41.2496 37.8206)     R180
C9       100nF           C0805      rcl             (37.0586 31.1658)     R90
C10      100nF           C0805      rcl             (92.0242 68.834)      R0
C11      47uF,tantalum   CT7343     rcl             (91.567 49.0982)      R0
C12      100nF           C0805      rcl             (85.6234 75.0316)     R270
C13      100nF           C0805      rcl             (88.7222 45.2628)     R180
C14      100nF           C0805      rcl             (85.2932 18.1102)     R0
C15      100nF           C0805      rcl             (110.4392 9.8552)     R0
C16      100nF           C0805      rcl             (71.882 44.6786)      R90
C17      100nF           C0805      rcl             (58.8264 61.8236)     R270
C18      100nF           C0805      rcl             (73.1012 61.9506)     R270
C19      47uF,tantalum   CT7343     rcl             (81.8388 73.9648)     R270
C20      100nF           C0805      rcl             (104.2924 47.1678)    R0
C21      100nF           C0805      rcl             (102.7176 70.7136)    R0
C22      100nF           C0805      rcl             (107.3912 59.9948)    R180
C23      100nF           C0805      rcl             (73.3806 53.8734)     R270
C24      100nF           C0805      rcl             (60.9854 69.3674)     R0
C25      1000pF/2kV      C1206      rcl             (19.9136 68.7832)     R180
C26      100nF           C0805      rcl             (43.1038 15.9004)     R0
C27      100nF           C0805      rcl             (26.8478 69.6468)     R90
C28      100nF           C0805      rcl             (80.8228 30.2514)     R0
C29      47uF,tantalum   CT7343     rcl             (74.1172 66.929)      R0
C30      100nF           C0805      rcl             (52.3494 22.9616)     R0
C31      100nF           C0805      rcl             (82.1182 67.7418)     R180
C32      100nF           C0805      rcl             (96.139 9.8552)       R180
C33      100nF           C0805      rcl             (52.9082 30.3022)     R0
C34      1000pF/2kV      C1206      rcl             (121.031 16.7132)     R180
C35      47uF            CT7343     rcl             (47.0408 66.9544)     R0
C36      47uF            CT7343     rcl             (43.942 54.6354)      R0
C37      100nF           C0805      rcl             (84.4804 50.4444)     R180
C38      100nF           C0805      rcl             (80.1878 63.3984)     R0
DC1      NMA0505S        NMA        dc-dc-converter (67.3608 77.0382)     R90
IC1      TLC2274ACD      SO14       linear          (103.4542 53.594)     R180
IC2      REG1117,3.3V    SOT223     burr-brown      (43.8404 60.7822)     R90
IC3      M24C02,3.3V     SO-08      microchip       (45.5676 46.5582)     R0
IC4      MCP601-I/SN     SO08       burr-brown      (93.3196 40.0812)     R270
IC7      TLC2274ACD      SO14       linear          (103.4288 9.8552)     R90
IC8      TLC2274ACD      SO14       linear          (103.4796 65.659)     R180
JP1      nofit           JP1        jumper          (52.1716 42.672)      R180
Q1       24MHz           HC49UP     crystal         (27.8638 29.3116)     R90
R1       10K             R0805      rcl             (54.0004 32.5374)     R180
R2       1M              R1206      rcl             (20.3962 71.8312)     R0
R3       10K             R0805      rcl             (59.2074 33.02)       R90
R5       51R             R0805      rcl             (115.1382 37.2364)    R0
R6       100K            R0805      rcl             (47.9806 39.1922)     R180
R7       2K2             R0805      rcl             (53.9496 51.0032)     R270
R8       2K2             R0805      rcl             (39.37 46.4312)       R0
R9       51R             R0805      rcl             (115.189 42.3418)     R0
R10      10K             R0805      rcl             (80.9244 33.0708)     R0
R11      51R             R0805      rcl             (93.3196 34.8742)     R180
R14      VAR5V           R1206      rcl             (57.6834 14.859)      R270
R15      51R             R0805      rcl             (124.2568 55.372)     R180
R16      51R             R0805      rcl             (124.2314 52.6034)    R180
R17      VAR5V           R1206      rcl             (121.0056 61.8998)    R270
R18      VAR5V           R1206      rcl             (120.8786 67.437)     R270
R19      51R             R0805      rcl             (11.6078 41.402)      R0
R20      51R             R0805      rcl             (11.6078 38.7096)     R0
R21      51R             R0805      rcl             (11.5824 35.9664)     R0
R22      51R             R0805      rcl             (115.4176 47.244)     R0
R23      51R             R0805      rcl             (115.1636 39.7764)    R0
R24      51R             R0805      rcl             (115.2652 44.8564)    R0
R25      51R             R0805      rcl             (115.3668 50.0126)    R0
R26      51R             R0805      rcl             (118.0846 59.1566)    R270
R27      51R             R0805      rcl             (115.7478 53.4162)    R270
R28      VAR5V           R1206      rcl             (103.3526 18.034)     R0
R29      VAR5V           R1206      rcl             (114.6048 66.6242)    R270
R30      10K             R0805      rcl             (112.3188 6.6802)     R180
R31      10K             R0805      rcl             (111.5568 13.6652)    R270
R32      10K             R0805      rcl             (95.0722 12.9032)     R0
R33      10K             R0805      rcl             (96.774 7.2644)       R0
R39      10K             R0805      rcl             (108.8898 5.7912)     R270
R40      10K             R0805      rcl             (98.0948 13.7922)     R90
R41      10K             R0805      rcl             (98.2472 4.191)       R270
R42      10K             R0805      rcl             (109.3978 13.6652)    R90
R46      VAR5V           R1206      rcl             (117.9576 65.7606)    R270
R47      VAR5V           R1206      rcl             (111.5314 63.0428)    R180
R48      VAR5V           R1206      rcl             (111.9124 51.4096)    R90
R49      VAR5V           R1206      rcl             (110.4646 57.277)     R0
R50      VAR5V           R1206      rcl             (111.9886 44.6532)    R270
R51      VAR5V           R1206      rcl             (108.9406 38.608)     R90
R52      VAR5V           R1206      rcl             (103.4542 39.2938)    R0
R53      51R             R0805      rcl             (114.9604 34.671)     R0
R54      51R             R0805      rcl             (115.0112 32.131)     R0
R55      51R             R0805      rcl             (115.0112 29.6164)    R0
R56      51R             R0805      rcl             (115.062 27.0256)     R0
R57      51R             R0805      rcl             (115.1128 22.987)     R0
R58      VAR5V           R1206      rcl             (116.713 20.5232)     R180
R59      VAR5V           R1206      rcl             (103.378 20.5232)     R0
R60      VAR5V           R1206      rcl             (103.3272 25.5778)    R0
R61      VAR5V           R1206      rcl             (103.378 30.6832)     R0
R62      VAR5V           R1206      rcl             (103.4542 35.8902)    R0
R63      VAR5V           R1206      rcl             (103.4288 33.2486)    R0
R64      VAR5V           R1206      rcl             (103.378 28.1432)     R0
R65      VAR5V           R1206      rcl             (103.378 22.8854)     R0
R66      51R             R0805      rcl             (110.8964 24.5618)    R0
R67      51R             R0805      rcl             (110.9218 27.1272)    R0
R68      51R             R0805      rcl             (110.8456 30.5054)    R0
R69      51R             R0805      rcl             (110.7948 33.0454)    R0
R70      1M              R1206      rcl             (121.0564 12.7762)    R0
R71      51R             R0805      rcl             (11.6078 33.2232)     R0
R72      51R             R0805      rcl             (11.6078 30.5816)     R0
R73      51R             R0805      rcl             (11.5824 27.7622)     R0
R74      51R             R0805      rcl             (11.6078 25.019)      R0
R75      51R             R0805      rcl             (11.6332 21.8186)     R270
SV1      nofit           MA13-2     con-lstb        (119.7102 39.751)     R270
SV2      no fit          MA09-2     con-lstb        (23.114 10.4648)      R0
SV3      nofit           MA03-1     con-lstb        (52.6034 47.2948)     R180
U$1      MAX525SSOP20    SSOP20     usbdux          (80.264 21.7678)      R180
U$2      MAX1270SSOP28   SSOP28     usbdux          (84.8868 57.2008)     R270
